Type,Price,Location,Bath,Area,Purpose,Bedrooms,Added,Precinct ,Main Features,,,
,,,,,,,,,,,,
Flat,PKR1.41 Crore,"Bahria Town Karachi, Karachi, Sindh",2,130 Sq. Yd.,For Sale,2,2 weeks ago,Not Found,"Main FeaturesParking Spaces: 1Lobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupRoomsDrawing RoomDining RoomKitchens: 1Steam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",,,
,,,,,,,,,,,,
Flat,PKR1.41 Crore,"Bahria Town Karachi, Karachi, Sindh",2,130 Sq. Yd.,For Sale,2,2 weeks ago,Not Found,"Main FeaturesParking Spaces: 1Lobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupRoomsDrawing RoomDining RoomKitchens: 1Steam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",,,
,,,,,,,,,,,,
Flat,PKR1.41 Crore,"Bahria Town Karachi, Karachi, Sindh",2,130 Sq. Yd.,For Sale,2,2 weeks ago,Not Found,"Main FeaturesParking SpacesLobby in BuildingCentral Air ConditioningFlooringElectricity BackupElevatorsRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchensNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR2.2 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,9 hours ago,Sports City,RoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Other Nearby Places,,,
,,,,,,,,,,,,
House,PKR1.56 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,9 hours ago,Precinct 31,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport Service,,,
,,,,,,,,,,,,
House,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,9 hours ago,Precinct 27,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Other Nearby Places,,,
,,,,,,,,,,,,
House,PKR1.56 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,9 hours ago,Precinct 12,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Other Nearby Places,,,
,,,,,,,,,,,,
House,PKR1.56 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,10 hours ago,Precinct 11-B,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,,,
,,,,,,,,,,,,
Flat,PKR65 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,10 hours ago,Not Found,"Main FeaturesBuilt in year: 2020Parking Spaces: 02Lobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloor: 02Floors in Building: 09Elevators: 04Service Elevators in BuildingRoomsBedrooms: 02Bathrooms: 03Servant Quarters: 01Drawing RoomDining RoomKitchens: 01Study RoomPrayer RoomPowder Room GymStore Rooms: 01Steam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledPet PolicyOther Facilities",,,
,,,,,,,,,,,,
Flat,PKR47 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,61 Sq. Yd.,For Sale,1,10 hours ago,Not Found,RoomsBedrooms: 1Bathrooms: 1,,,
,,,,,,,,,,,,
Flat,PKR80 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,10 hours ago,Not Found,RoomsBedrooms: 2Bathrooms: 2,,,
,,,,,,,,,,,,
House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 weeks ago,Precinct 12,Main FeaturesBuilt in yearFlooringElectricity BackupFloorsRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens,,,
,,,,,,,,,,,,
House,PKR90 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 weeks ago,Not Found,"Main FeaturesFlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsNearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR2 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 weeks ago,Precinct 10-A,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
House,PKR1.8 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,2 weeks ago,Precinct 11,"Main FeaturesFlooringElectricity BackupWaste DisposalRoomsBedrooms: 3Bathrooms: 4KitchensBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyCommunity FeaturesMosqueNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
Flat,PKR1.62 Crore,"Bahria Town Karachi, Karachi, Sindh",3,180 Sq. Yd.,For Sale,3,2 weeks ago,Not Found,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Kitchens: 1Store Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",,,
,,,,,,,,,,,,
Flat,PKR62.25 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,69 Sq. Yd.,For Sale,1,2 weeks ago,Not Found,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 1Bathrooms: 1Kitchens: 1Store Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",,,
,,,,,,,,,,,,
Flat,PKR1.48 Crore,"Bahria Town Karachi, Karachi, Sindh",2,157 Sq. Yd.,For Sale,2,2 weeks ago,"Precinct 2,","Main FeaturesParking SpacesElevatorsRoomsBedrooms: 2Bathrooms: 2Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
Flat,PKR1.48 Crore,"Bahria Town Karachi, Karachi, Sindh",2,157 Sq. Yd.,For Sale,2,2 weeks ago,"Precinct 2,","Main FeaturesElevatorsRoomsBedrooms: 2Bathrooms: 2Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR1.55 Crore,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,4,2 weeks ago,Precinct 12,"Main FeaturesBuilt in year: 2022Parking Spaces: 2Double Glazed WindowsFlooringElectricity BackupFloors: 2RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",,,
,,,,,,,,,,,,
House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 weeks ago,Precinct 27,"Main FeaturesFlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsNearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR2.75 Crore,"Bahria Town Karachi, Karachi, Sindh",3,250 Sq. Yd.,For Sale,3,2 weeks ago,Precinct 30,"Main FeaturesFlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsNearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
Flat,PKR1.34 Crore,PKR20 Lakh,PKR1.2 Lakh,60 Months,"Bahria Town Karachi, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,2 weeks ago,Not Found,"Main FeaturesBuilt in year: 2027Lobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalService Elevators in BuildingFurnishedRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalSaunaJacuzziOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledPet Policy"
,,,,,,,,,,,,
Flat,PKR1.41 Crore,"Bahria Town Karachi, Karachi, Sindh",2,130 Sq. Yd.,For Sale,2,2 weeks ago,Not Found,"Main FeaturesParking Spaces: 1Lobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupRoomsDrawing RoomDining RoomKitchens: 1Steam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",,,
,,,,,,,,,,,,
Flat,PKR1.41 Crore,"Bahria Town Karachi, Karachi, Sindh",2,130 Sq. Yd.,For Sale,2,2 weeks ago,Not Found,"Main FeaturesParking Spaces: 1Lobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupRoomsDrawing RoomDining RoomKitchens: 1Steam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",,,
,,,,,,,,,,,,
Flat,PKR1.42 Crore,"Bahria Town Karachi, Karachi, Sindh",2,131 Sq. Yd.,For Sale,2,2 weeks ago,Not Found,"Main FeaturesParking Spaces: 1Lobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupRoomsDrawing RoomDining RoomKitchens: 1Steam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",,,
,,,,,,,,,,,,
Flat,PKR1.05 Crore,"Bahria Town Karachi, Karachi, Sindh",2,101 Sq. Yd.,For Sale,2,2 weeks ago,"Precinct 2,","Main FeaturesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupElevators: 2Service Elevators in BuildingRoomsBedrooms: 2Bathrooms: 2Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room Store Rooms: 1Steam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesCommunity FeaturesFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalSaunaNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsNearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledPet Policy",,,
,,,,,,,,,,,,
House,PKR2.38 Crore,"Bahria Town Karachi, Karachi, Sindh",5,350 Sq. Yd.,For Sale,4,2 weeks ago,Precinct 35,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 4Bathrooms: 5Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
Flat,PKR75 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,10 hours ago,Not Found,RoomsBedrooms: 2Bathrooms: 2,,,
,,,,,,,,,,,,
Flat,PKR50 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,56 Sq. Yd.,For Sale,1,10 hours ago,Not Found,RoomsBedrooms: 1Bathrooms: 1,,,
,,,,,,,,,,,,
Flat,PKR80 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,10 hours ago,Not Found,RoomsBedrooms: 2Bathrooms: 2,,,
,,,,,,,,,,,,
House,PKR1.5 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,10 hours ago,Precinct 12,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining Room,,,
,,,,,,,,,,,,
House,PKR1.65 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,10 hours ago,Precinct 11-A,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining Room,,,
,,,,,,,,,,,,
House,PKR1.52 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,10 hours ago,Precinct 31,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining Room,,,
,,,,,,,,,,,,
House,PKR1.52 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,10 hours ago,Precinct 11-B,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining Room,,,
,,,,,,,,,,,,
House,PKR1.85 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,11 hours ago,Precinct 11-B,Main FeaturesParking Spaces: 1FlooringElectricity BackupWaste DisposalRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Study RoomLounge or Sitting RoomCommunity FeaturesKids Play AreaNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,,,
,,,,,,,,,,,,
House,PKR2.15 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,2 weeks ago,Precinct 35,"Main FeaturesParking SpacesFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensPowder Room Steam RoomLounge or Sitting RoomCommunity FeaturesKids Play AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsOther Facilities
Maintenance StaffSecurity StaffOther Facilities",,,
,,,,,,,,,,,,
House,PKR77.5 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,83 Sq. Yd.,For Sale,3,2 weeks ago,Not Found,RoomsBedrooms: 3Bathrooms: 3Kitchens: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby Restaurants,,,
,,,,,,,,,,,,
House,PKR3.75 Crore,"Bahria Town Karachi, Karachi, Sindh",6,250 Sq. Yd.,For Sale,6,2 weeks ago,"Precinct 6,","Main FeaturesBuilt in yearParking SpacesFlooringElectricity BackupWaste DisposalFloorsRoomsBedrooms: 6Bathrooms: 6Drawing RoomDining RoomKitchens: 2Powder Room Store Rooms: 2Lounge or Sitting RoomCommunity FeaturesCommunity Lawn or GardenCommunity GymKids Play AreaMosqueHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Other Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR2.1 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,2 weeks ago,Precinct 35,"RoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room Store Rooms: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",2,125 Sq. Yd.,For Sale,2,2 weeks ago,Precinct 12,"RoomsBedrooms: 2Bathrooms: 2Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room Store Rooms: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
Flat,PKR92 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,2 weeks ago,Not Found,Main FeaturesParking SpacesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningFlooringElectricity BackupWaste DisposalFloorFloors in BuildingElevatorsService Elevators in Building,,,
,,,,,,,,,,,,
Flat,PKR85 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,2 weeks ago,Not Found,Main FeaturesParking SpacesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorFloors in BuildingElevatorsService Elevators in Building,,,
,,,,,,,,,,,,
Flat,PKR92 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,2 weeks ago,Not Found,Main FeaturesParking SpacesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorFloors in BuildingElevatorsService Elevators in Building,,,
,,,,,,,,,,,,
House,PKR1.5 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,6,2 weeks ago,Precinct 12,"RoomsBedrooms: 6Bathrooms: 3Servant Quarters: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR1.9 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 weeks ago,Precinct 11-A,"RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 weeks ago,Precinct 27,"RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
Flat,PKR75 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,106 Sq. Yd.,For Sale,2,2 weeks ago,Precinct 19,"RoomsBedrooms: 2Bathrooms: 1Servant Quarters: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR1.75 Crore,"Bahria Town Karachi, Karachi, Sindh",4,152 Sq. Yd.,For Sale,3,2 weeks ago,"Precinct 2,","Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
House,PKR4.1 Crore,"Bahria Town Karachi, Karachi, Sindh",6,272 Sq. Yd.,For Sale,5,2 weeks ago,"Precinct 1,",Main FeaturesFlooringElectricity BackupRoomsBedrooms: 5Bathrooms: 6Drawing RoomDining RoomKitchens: 2Lounge or Sitting RoomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsNearby Public Transport ServiceOther Nearby Places,,,
,,,,,,,,,,,,
