Type,Location,Bath,Purpose,Bedrooms,Added,Precinct ,Main Features,Total Area,Total Price
House,"Bahria Town, Karachi",4,For Sale,3,2 weeks ago,Precinct 31,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",235,15000000.0
Flat,"Bahria Town, Karachi",3,For Sale,2,2 weeks ago,Precinct 19,"Main FeaturesBuilt in year: 2022Parking SpacesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorFloors in BuildingElevatorsService Elevators in BuildingOther Main FeaturesFurnishedRoomsBedrooms: 2Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledPet PolicyOther Facilities",106,7900000.0
House,"Bahria Town, Karachi",3,For Sale,3,11 hours ago,Precinct 11-B,Main FeaturesParking Spaces: 1FlooringElectricity BackupWaste DisposalRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Study RoomLounge or Sitting RoomCommunity FeaturesKids Play AreaNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,152,18500000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,11 hours ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 1Bathrooms: 1Kitchens: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",95,8590000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,11 hours ago,Bahria Town,RoomsBedrooms: 2Bathrooms: 2Drawing RoomDining RoomKitchens: 1Lounge or Sitting Room,106,8000000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,11 hours ago,Bahria Town,RoomsBedrooms: 2Bathrooms: 2Drawing RoomDining RoomKitchens: 1Lounge or Sitting Room,122,7700000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,11 hours ago,Bahria Town,RoomsBedrooms: 2Bathrooms: 2Drawing RoomDining RoomKitchens: 1Lounge or Sitting Room,106,7500000.0
House,"Bahria Town, Karachi",3,For Sale,3,11 hours ago,Precinct 31,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2Lounge or Sitting Room,235,15000000.0
House,"Bahria Town, Karachi",3,For Sale,3,11 hours ago,Precinct 11-B,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Lounge or Sitting Room,152,15000000.0
House,"Bahria Town, Karachi",3,For Sale,3,11 hours ago,Precinct 12,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Lounge or Sitting Room,125,15000000.0
Flat,"Bahria Town, Karachi",1,For Sale,3,2 weeks ago,Precinct 19,"RoomsBedrooms: 3Bathrooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",244,19000000.0
Flat,"Bahria Town, Karachi",1,For Sale,2,2 weeks ago,Bahria Town,"RoomsBedrooms: 2Bathrooms: 1Drawing RoomDining RoomKitchens: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",122,6500000.0
House,"Bahria Town, Karachi",4,For Sale,4,2 weeks ago,Precinct 35,"RoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room Store Rooms: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",350,24000000.0
House,"Bahria Town, Karachi",3,For Sale,5,2 weeks ago,Precinct 50,"RoomsBedrooms: 5Bathrooms: 3Servant Quarters: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",500,45000000.0
House,"Bahria Town, Karachi",2,For Sale,3,2 weeks ago,Precinct 11-B,"RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",152,15000000.0
Flat,"Bahria Town, Karachi",3,For Sale,3,2 weeks ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Kitchens: 1Study RoomStore Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",156,14100000.0
Flat,"Bahria Town, Karachi",1,For Sale,1,2 weeks ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 1Bathrooms: 1Kitchens: 1Study RoomStore Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",69,6225000.0
House,"Bahria Town, Karachi",3,For Sale,3,3 weeks ago,Precinct 11-B,"Main FeaturesBuilt in year: 2022Parking Spaces: 2Double Glazed WindowsFlooringWaste DisposalRoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Steam RoomLounge or Sitting RoomLaundry RoomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Other Facilities
Maintenance StaffSecurity Staff",152,16500000.0
Flat,"Bahria Town, Karachi",1,For Sale,1,3 weeks ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 1Bathrooms: 1Kitchens: 1Study RoomStore Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",69,6225000.0
Flat,"Bahria Town, Karachi",1,For Sale,1,3 weeks ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 1Bathrooms: 1Kitchens: 1Study RoomStore Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",69,6225000.0
Flat,"Bahria Town, Karachi",1,For Sale,1,3 weeks ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 1Bathrooms: 1Kitchens: 1Study RoomStore Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",69,6225000.0
Flat,"Bahria Town, Karachi",3,For Sale,3,3 weeks ago,Bahria Town,"Main FeaturesFlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsNearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffPet Policy",250,22000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 weeks ago,Precinct 11-B,"Main FeaturesFlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",152,15500000.0
House,"Bahria Town, Karachi",4,For Sale,4,2 weeks ago,Precinct 35,"Main FeaturesFlooringElectricity BackupRoomsBedrooms: 4Bathrooms: 4Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",350,20800000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,2 weeks ago,Bahria Town,RoomsBedrooms: 2Bathrooms: 2Drawing RoomDining RoomKitchens: 1Lounge or Sitting Room,106,9000000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,2 weeks ago,Bahria Town,RoomsBedrooms: 2Bathrooms: 2Drawing RoomDining RoomKitchens: 1Lounge or Sitting Room,100,8500000.0
House,"Bahria Town, Karachi",4,For Sale,4,2 weeks ago,Sports City,RoomsBedrooms: 4Bathrooms: 4Drawing RoomDining RoomKitchens: 2,350,23000000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,11 hours ago,Bahria Town,RoomsBedrooms: 2Bathrooms: 2Drawing RoomDining RoomKitchens: 1Lounge or Sitting Room,106,8200000.0
House,"Bahria Town, Karachi",3,For Sale,3,11 hours ago,Precinct 11-A,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Lounge or Sitting Room,152,15000000.0
House,"Bahria Town, Karachi",4,For Sale,4,17 hours ago,"Precinct 1,",Main FeaturesParking Spaces: 1Double Glazed WindowsFlooringElectricity BackupOther Main FeaturesRoomsDrawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,272,42500000.0
House,"Bahria Town, Karachi",4,For Sale,4,17 hours ago,"Precinct 1,",Main FeaturesParking Spaces: 1Double Glazed WindowsFlooringElectricity BackupOther Main FeaturesRoomsDrawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,272,42500000.0
House,"Bahria Town, Karachi",4,For Sale,4,17 hours ago,"Precinct 1,",Main FeaturesParking Spaces: 1Double Glazed WindowsFlooringElectricity BackupOther Main FeaturesRoomsDrawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,272,42500000.0
House,"Bahria Town, Karachi",4,For Sale,4,17 hours ago,"Precinct 1,",Main FeaturesParking Spaces: 1Double Glazed WindowsFlooringElectricity BackupOther Main FeaturesRoomsDrawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,272,42500000.0
House,"Bahria Town, Karachi",4,For Sale,4,17 hours ago,"Precinct 1,",Main FeaturesParking Spaces: 1Double Glazed WindowsFlooringElectricity BackupOther Main FeaturesRoomsDrawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,272,42500000.0
House,"Bahria Town, Karachi",4,For Sale,4,17 hours ago,"Precinct 1,",Main FeaturesParking Spaces: 1Double Glazed WindowsFlooringElectricity BackupOther Main FeaturesRoomsDrawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,272,42500000.0
House,"Bahria Town, Karachi",5,For Sale,4,3 weeks ago,"Precinct 8,",Main FeaturesFlooringElectricity BackupRoomsBedrooms: 4Bathrooms: 5Servant QuartersDrawing RoomDining RoomKitchensBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercom,250,43500000.0
House,"Bahria Town, Karachi",3,For Sale,3,3 weeks ago,Precinct 10-A,Main FeaturesBuilt in year: 2020Parking SpacesFlooringElectricity BackupWaste DisposalFloors: 1Other Main FeaturesRoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymStore Rooms: 1Steam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueOther Community FacilitiesHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20800000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,3 weeks ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 2Bathrooms: 2Kitchens: 1Study RoomStore Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",110,9980000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,3 weeks ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 2Bathrooms: 2Kitchens: 1Study RoomStore Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",110,9980000.0
Flat,"Bahria Town, Karachi",1,For Sale,1,3 weeks ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 1Bathrooms: 1Kitchens: 1Study RoomStore Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",69,6225000.0
Flat,"Bahria Town, Karachi",3,For Sale,3,3 weeks ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Kitchens: 1Study RoomStore Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",156,14100000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,3 weeks ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 2Bathrooms: 2Kitchens: 1Study RoomStore Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",110,9980000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,3 weeks ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 2Bathrooms: 2Kitchens: 1Study RoomStore Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",110,9980000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 weeks ago,Precinct 12,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1,125,16000000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 weeks ago,Precinct 27,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2,235,17500000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 weeks ago,Bahria Greens,RoomsBedrooms: 3Bathrooms: 3Kitchens: 1,75,9900000.0
House,"Bahria Town, Karachi",3,For Sale,3,2 weeks ago,Precinct 10-A,Main FeaturesParking Spaces: 1FlooringElectricity BackupWaste DisposalRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Study RoomLounge or Sitting RoomCommunity FeaturesKids Play AreaNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,200,20800000.0
House,"Bahria Town, Karachi",4,For Sale,4,17 hours ago,"Precinct 1,",Main FeaturesParking Spaces: 1Double Glazed WindowsFlooringElectricity BackupOther Main FeaturesRoomsDrawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,272,42500000.0
House,"Bahria Town, Karachi",4,For Sale,4,17 hours ago,"Precinct 1,",Main FeaturesParking Spaces: 1Double Glazed WindowsFlooringElectricity BackupOther Main FeaturesRoomsDrawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,272,42500000.0
House,"Bahria Town, Karachi",4,For Sale,4,17 hours ago,"Precinct 1,",Main FeaturesParking Spaces: 1Double Glazed WindowsFlooringElectricity BackupOther Main FeaturesRoomsDrawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,272,42500000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,21 hours ago,Bahria Town,RoomsBedrooms: 2Bathrooms: 2Kitchens: 1,122,7500000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,21 hours ago,Bahria Town,RoomsBedrooms: 2Bathrooms: 2Kitchens: 1,106,7500000.0
Flat,"Bahria Town, Karachi",1,For Sale,1,21 hours ago,Bahria Town,RoomsBedrooms: 1Bathrooms: 1Kitchens: 1,61,4700000.0
Flat,"Bahria Town, Karachi",1,For Sale,1,21 hours ago,Bahria Town,RoomsBedrooms: 1Bathrooms: 1Kitchens: 1,61,4500000.0
House,"Bahria Town, Karachi",3,For Sale,3,21 hours ago,Precinct 31,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2,235,15000000.0
House,"Bahria Town, Karachi",5,For Sale,5,4 weeks ago,Precinct 51,"Main FeaturesBuilt in yearParking SpacesDouble Glazed WindowsCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Security Staff",500,52500000.0
